blue = 1/24
black = 1/16

[0-9]{1,2}: ([0-9]{1,2}(/[0-9]{1,2}){,1}), ([0-9]{1,2}(/[0-9]{1,2}){0,1})

Asia green:
1: 5/24, 11/24
2: 1/4, 1/2
3: 1/2, 16/24
4: 3/4, 16/24
5: 22/24, 1/2
6: 23/24, 9/24
7: 1, 1/2
8: 22/24, 3/4
9: 3/4, 22/24
10: 1/2, 1
11:1/3, 23/24
12: 5/24, 21/24
13: 4/24, 3/4
14: 5/24, 3/4
15: 4/24, 15/24
16: 3/24, 2/3

Honshu:
1: 3/24, 3/4
2: 4/24, 3/4
3: 3/24, 20/24

England:
1: 13/16, 7/16
2: 20/24, 11/24
3: 22/24, 11/24
4: 22/24, 1/2
5: 13/16, 11/24

Ireland:
1: 13/16, 21/24
2: 10/24, 22/24
3: 13/16, 22/24

America:
1: 4/24, 10/24
2: 4/24, 1/3
3: 1/4, 1/4
4: 1/4, 3/24
5: 7/24, 1/24
6: 11/24, 0
7: 9/16, 0
8: 3/4, 4/24
9: 9/16, 4/24
10: 14/24, 3/24
11: 1/2, 3/24
12: 11/24, 4/24
13: 14/24, 5/24
14: 15/24, 6/24
15: 13/24, 6/24
16: 1/2, 7/24
17: 9/24, 7/24
18: 5/24, 9/24

Greenland:
1: 3/4, 1/4
2: 2/3, 10/24
3: 14/24, 11/24
4: 13/24, 1/3
5: 14/24, 1/3
